Container,Year Lot,Week Lot,Lot Number,Container Size,Model,Container Type,Container BL
TCNU5441344,2025,WK43,-,40,MIXED,MOQ,JYAJ25100403
TIIU5683373,2025,WK43,-,40,MIXED,MOQ,JYAJ25100403
OOCU6725649,2025,WK43,-,40,MIXED,MOQ,JYAJ25100403
OOLU6889680,2025,WK43,-,40,MIXED,MOQ,JYAJ25100403
OOCU7775496,2025,WK43,-,40,MIXED,MOQ,JYAJ25100403
TGBU4740510,2025,WK43,12109505-DML,40,ZS3E,SKD/KD,ZYAJ25092805/ZYAJ25092812
CAAU9089364,2025,WK43,-,40,MIXED,MOQ,JYAJ25100401
CAIU7034961,2025,WK43,-,40,MIXED,MOQ,JYAJ25100401
CBHU9490451,2025,WK43,-,40,MIXED,MOQ,JYAJ25100401
CSNU6014486,2025,WK43,-,40,MIXED,MOQ,JYAJ25100401
CSNU6113323,2025,WK43,-,40,MIXED,MOQ,JYAJ25100401
CSNU8721929,2025,WK43,-,40,MIXED,MOQ,JYAJ25100401
CSNU8781569,2025,WK43,-,40,MIXED,MOQ,JYAJ25100401
TCNU1163245,2025,WK43,-,40,MIXED,DG,CPL0365988
SEGU6210699,2025,WK43,-,40,MIXED,DG,CPL0365988
CMAU7924309,2025,WK43,-,40,MIXED,DG,CPL0365988
APZU3270971,2025,WK43,-,20,MIXED,DG,CPL0365988
