äﬂ±ø^T)]«JI€8Mmùöˇ†Œà„F®Ut,Lot Number,Container Size,Model,Container Type,Container BL
APZU3270971,2025,WK43,-,20,MIXED,DG(CELL-PWR BAT),CPL0365988
CMAU7924309,2025,WK43,-,40,MIXED,DG(CELL-PWR BAT),CPL0365988
SEGU6210699,2025,WK43,-,40,MIXED,DG(CELL-PWR BAT),CPL0365988
TCNU1163245,2025,WK43,-,40,MIXED,DG(CELL-PWR BAT),CPL0365988
FFAU2615809,2025,WK43,11658449-JSH,40,EH32,SKD/KD,ZYSC25092302/ZYSC25092308
OOLU9585315,2025,WK43,11658449-JSH,40,EH32,SKD/KD,ZYSC25092302/ZYSC25092308
OOCU7577649,2025,WK43,11658449-PBC,40,EH32,SKD/KD,ZYSC25092304/ZYSC25092310
TIIU6813450,2025,WK43,11658449-PBC,40,EH32,SKD/KD,ZYSC25092304/ZYSC25092310
BEAU6166357,2025,WK43,11658449-ZBY,40,EH32,SKD,ZYSC25092305
CSNU6408469,2025,WK43,11658449-ZBY,40,EH32,SKD/KD,ZYSC25092303/ZYSC25092309
BMOU4941980,2025,WK43,11658449-WSB,40,EH32,SKD,ZYSC25092305
CBHU8949269,2025,WK43,11658449-WSB,40,EH32,SKD,ZYSC25092305
CBHU8965254,2025,WK43,11658449-WSB,40,EH32,SKD,ZYSC25092305
CBHU9002834,2025,WK43,11658449-WSB,40,EH32,SKD,ZYSC25092305
CBHU9579810,2025,WK43,11658449-PAG,40,EH32,SKD/KD,ZYSC25092303/ZYSC25092309
CSNU6017335,2025,WK43,11658449-WSB,40,EH32,SKD/KD,ZYSC25092302/ZYSC25092308
CSNU6575255,2025,WK43,11658449-PAG,40,EH32,SKD/KD,ZYSC25092302/ZYSC25092308
CSNU6581427,2025,WK43,11658449-PAG,40,EH32,SKD/KD,ZYSC25092302/ZYSC25092308
CSNU8670689,2025,WK43,11658449-PAG,40,EH32,SKD/KD,ZYSC25092304/ZYSC25092310
FFAU3035024,2025,WK43,11658449-PAG,40,EH32,SKD/KD,ZYSC25092303/ZYSC25092309
FFAU3278111,2025,WK43,11658449-WSB,40,EH32,SKD/KD,ZYSC25092303/ZYSC25092309
FFAU5906602,2025,WK43,11658449-PAG,40,EH32,SKD/KD,ZYSC25092304/ZYSC25092310
GCXU5449105,2025,WK43,11658449-WSB,40,EH32,SKD/KD,ZYSC25092302/ZYSC25092308
OOCU7233941,2025,WK43,11658449-PAG,40,EH32,SKD/KD,ZYSC25092304/ZYSC25092310
OOCU8276721,2025,WK43,11658449-PAG,40,EH32,SKD/KD,ZYSC25092304/ZYSC25092310
OOCU8597510,2025,WK43,11658449-WSB,40,EH32,SKD/KD,ZYSC25092303/ZYSC25092309
OOCU9198388,2025,WK43,11658449-PAG,40,EH32,SKD/KD,ZYSC25092303/ZYSC25092309
OOLU9390587,2025,WK43,11658449-PAG,40,EH32,SKD/KD,ZYSC25092302/ZYSC25092308
TCKU7192884,2025,WK43,11658449-PBC,40,EH32,SKD/KD,ZYSC25092304/ZYSC25092310
TEMU6020530,2025,WK43,11658449-PAG,40,EH32,SKD/KD,ZYSC25092304/ZYSC25092310
TEMU6051823,2025,WK43,11658449-PAG,40,EH32,SKD/KD,ZYSC25092302/ZYSC25092308
TEMU7105483,2025,WK43,11658449-WSB,40,EH32,SKD,ZYSC25092305
TIIU5353664,2025,WK43,11658449-PAG,40,EH32,SKD/KD,ZYSC25092304/ZYSC25092310
TIIU5376654,2025,WK43,11658449-PAG,40,EH32,SKD/KD,ZYSC25092303/ZYSC25092309
TLLU6900650,2025,WK43,11658449-PAG,40,EH32,SKD,ZYSC25092305
TRHU4999150,2025,WK43,11658449-PAG,40,EH32,SKD/KD,ZYSC25092304/ZYSC25092310
TXGU4394317,2025,WK43,11658449-PAG,40,EH32,SKD/KD,ZYSC25092303/ZYSC25092309
UETU5219734,2025,WK43,11658449-PAG,40,EH32,SKD/KD,ZYSC25092304/ZYSC25092310
CSNU8404272,2025,WK43,-,40,MIXED,MOQ,ZYSC25092307/ZYSC25092311
CCLU7844936,2025,WK43,12109505-WSB,40,ZS3E,SKD/KD,ZYAJ25092802/ZYAJ25092809
FSCU8310336,2025,WK43,12109505-PBC,40,ZS3E,SKD/KD,ZYAJ25092802/ZYAJ25092809
OOCU9487652,2025,WK43,12109505-DML,40,ZS3E,SKD/KD,ZYAJ25092802/ZYAJ25092809
FFAU2364196,2025,WK43,12109505-WSB,40,ZS3E,SKD/KD,ZYAJ25092802/ZYAJ25092809
TCLU1743360,2025,WK43,12109505-DML,40,ZS3E,SKD/KD,ZYAJ25092802/ZYAJ25092809
CSNU8380530,2025,WK43,12109505-WSB,40,ZS3E,SKD/KD,ZYAJ25092802/ZYAJ25092809
TLLU6889479,2025,WK43,12109505-WSB,40,ZS3E,SKD/KD,ZYAJ25092801/ZYAJ25092808
CSLU6101500,2025,WK43,12109505-WSB,40,ZS3E,SKD/KD,ZYAJ25092802/ZYAJ25092809
FCIU9623275,2025,WK43,12109505-PAG,40,ZS3E,SKD/KD,ZYAJ25092801/ZYAJ25092808
CSNU8490223,2025,WK43,12109505-PAG,40,ZS3E,SKD/KD,ZYAJ25092801/ZYAJ25092808
FCIU9654363,2025,WK43,12109505-DML,40,ZS3E,SKD/KD,ZYAJ25092801/ZYAJ25092808
CCLU7368465,2025,WK43,12109505-PAG,40,ZS3E,SKD/KD,ZYAJ25092801/ZYAJ25092808
SEKU4547509,2025,WK43,12109505-WSB,40,ZS3E,SKD/KD,ZYAJ25092802/ZYAJ25092809
